type,title,description,source,uniquelink,rank,scrapeid,timestamp
Top Trends,Hillary Clinton,Clinton: Being a capitalist 'probably' hurt me with Dem voters,thehill.com,https://www.facebook.com/topic/Hillary-Clinton/172714159566601?source=whfrt&position=1&trqid=6551163335658288445&impressionguid=0yOtvb3k9Yy7eTXO7,1,0,Wed May  2 20:39:46 2018
Top Trends,CDC,E. coli outbreak linked to romaine turns deadly,cnn.com,https://www.facebook.com/topic/CDC/108299375865481?source=whfrt&position=2&trqid=6551163335658288445&impressionguid=0yOtvb3k9Yy7eTXO7,2,0,Wed May  2 20:39:46 2018
Top Trends,Emmet Flood,Trump Replaces Ty Cobb With Clinton Impeachment Lawyer,huffingtonpost.com,https://www.facebook.com/topic/Emmet-Flood/222563384872649?source=whfrt&position=3&trqid=6551163335658288445&impressionguid=0yOtvb3k9Yy7eTXO7,3,0,Wed May  2 20:39:46 2018
Top Trends,Republican Party of Wisconsin,GOP candidate questions 'cognitive thought process' of veterans…,thehill.com,https://www.facebook.com/topic/Republican-Party-of-Wisconsin/105561419477525?source=whrt&position=4&trqid=6551163352802385316&impressionguid=0yOtvb3k9Yy7eTXO7,4,0,Wed May  2 20:39:46 2018
Top Trends,Iowa,Iowa lawmakers pass strictest abortion law in the US,thehill.com,https://www.facebook.com/topic/Iowa/104004246303834?source=whrt&position=5&trqid=6551163352802385316&impressionguid=0yOtvb3k9Yy7eTXO7,5,0,Wed May  2 20:39:46 2018
Top Trends,"Savannah, Georgia","Military cargo plane crashes near Savannah, Georgia",msn.com,https://www.facebook.com/topic/Savannah-Georgia/134808596549908?source=whrt&position=6&trqid=6551163352802385316&impressionguid=0yOtvb3k9Yy7eTXO7,6,0,Wed May  2 20:39:46 2018
Top Trends,Philadelphia,Men arrested at Starbucks settle for $1,bbc.com,https://www.facebook.com/topic/Philadelphia/106057446092618?source=whrt&position=7&trqid=6551163352802385316&impressionguid=0yOtvb3k9Yy7eTXO7,7,0,Wed May  2 20:39:46 2018
Top Trends,Kīlauea,"Dozens of quakes rattle Hawaii volcano, eruption possible",msn.com,https://www.facebook.com/topic/K%C4%ABlauea/104063426297466?source=whrt&position=8&trqid=6551163352802385316&impressionguid=0yOtvb3k9Yy7eTXO7,8,0,Wed May  2 20:39:46 2018
Top Trends,Federal Open Market Committee,"Fed keeps key rate unchanged, says inflation near target",msn.com,https://www.facebook.com/topic/Federal-Open-Market-Committee/105737736127795?source=whrt&position=9&trqid=6551163352802385316&impressionguid=0yOtvb3k9Yy7eTXO7,9,0,Wed May  2 20:39:46 2018
Top Trends,Southwest Airlines,Southwest Flight 957 makes unplanned landing with broken window,cnn.com,https://www.facebook.com/topic/Southwest-Airlines/105606036139390?source=whrt&position=10&trqid=6551163352802385316&impressionguid=0yOtvb3k9Yy7eTXO7,10,0,Wed May  2 20:39:46 2018
